energy,flux
9.84,462911.657
9.86,460054.708
9.88,457187.517
9.9,454300.98
9.92,451437.203
9.94,448564.891
9.96,445683.475
9.98,442791.248
10,439885.365
10.02,436999.966
10.04,434106.601
10.06,431205.27
10.08,428293.128
10.1,425372.451
10.12,422469.413
10.14,419559.547
10.16,416642.284
10.18,413713.641
10.2,410782.722
10.22,407867.166
10.24,404944.782
10.26,402015.57
10.28,399074.409
10.3,396138.938
10.32,393214.278
10.34,390284.497
10.36,387347.888
10.38,384398.192
10.4,381462.721
10.42,378534.078
10.44,375600.883
10.46,372660.86
10.48,369706.043
10.5,366777.4
10.52,363849.326
10.54,360916.7
10.56,357977.815
10.58,355025.274
10.6,352104.597
10.62,349181.075
10.64,346254.139
10.66,343320.944
10.68,340379.214
10.7,337467.641
10.72,334553.792
10.74,331636.529
10.76,328713.576
10.78,325788.916
10.8,322889.861
10.82,319990.237
10.84,317087.199
10.86,314178.471
10.88,311274.864
10.9,308393.448
10.92,305512.032
10.94,302627.771
10.96,299736.682
10.98,296859.818
11,294001.162
11.02,291141.368
11.04,288281.005
11.06,285410.4
11.08,282565.969
11.1,279734.056
11.12,276902.143
11.14,274069.092
11.16,271222.954
11.18,268418.353
11.2,265617.166
11.22,262817.117
11.24,260015.93
11.26,257205.639
11.28,254437.454
11.3,251672.114
11.32,248907.912
11.34,246142.572
11.36,243374.956
11.38,240646.032
11.4,237919.953
11.42,235196.15
11.44,232470.071
11.46,229749.682
11.48,227064.002
11.5,224382.874
11.52,221703.453
11.54,219021.187
11.56,216353.715
11.58,213716.4
11.6,211083.068
11.62,208452.581
11.64,205817.542
11.66,203208.677
11.68,200623.71
11.7,198043.295
11.72,195465.156
11.74,192879.62
11.76,190335.621
11.78,187806.985
11.8,185283.47
11.82,182762.231
11.84,180231.319
11.86,177756.169
11.88,175287.847
11.9,172824.646
11.92,170363.721
11.94,167899.951
11.96,165489.098
11.98,163085.073
12,160687.307
12.02,158290.679
12.04,155899.172
12.06,153556.599
12.08,151221.423
12.1,148891.937
12.12,146563.02
12.14,144248.897
12.16,141978.587
12.18,139715.674
12.2,137459.02
12.22,135199.521
12.24,132968.472
12.26,130773.839
12.28,128587.172
12.3,126406.195
12.32,124219.528
12.34,122077.243
12.36,119962.27
12.38,117855.263
12.4,115752.808
12.42,113637.835
12.44,111592.28
12.46,109559.812
12.48,107535.31
12.5,105514.791
12.52,103485.737
12.54,101530.653
12.56,99584.673
12.58,97646.659
12.6,95710.921
12.62,93776.89
12.64,91910.57
12.66,90053.923
12.68,88204.673
12.7,86355.423
12.72,84520.398
12.74,82746.825
12.76,80982.356
12.78,79224.146
12.8,77463.091
12.82,75731.624
12.84,74053.074
12.86,72383.059
12.88,70718.734
12.9,69045.305
12.92,67423.655
12.94,65842.404
12.96,64269.688
12.98,62700.955
13,61114.014
13.02,59609.578
13.04,58127.902
13.06,56653.623
13.08,55180.482
13.1,53687.426
13.12,52298.497
13.14,50918.103
13.16,49544.537
13.18,48169.833
13.2,46787.732
13.22,45502.93
13.24,44226.094
13.26,42953.81
13.28,41676.974
13.3,40408.673
13.32,39229.136
13.34,38056.427
13.36,36886.563
13.38,35706.457
13.4,34557.077
13.42,33483.374
13.44,32414.792
13.46,31346.779
13.48,30259.989
13.5,29234.651
13.52,28266.782
13.54,27303.465
13.56,26337.303
13.58,25339.277
13.6,24445.378
13.62,23583.343
13.64,22723.584
13.66,21858.135
13.68,20950.58
13.7,20187.551
13.72,19429.074
13.74,18671.166
13.76,17904.154
13.78,17113.813
13.8,16453.204
13.82,15795.44
13.84,15136.538
13.86,14463.411
13.88,13790.853
13.9,13227.543
13.92,12665.94
13.94,12101.492
13.96,11517.698
13.98,10960.078
14,10488.377
14.02,10016.676
14.04,9539.854
14.06,9039.134
14.08,8592.469
14.1,8203.842
